date,client_id,well_id,well_name,forecast,actual
2/29/2020,1009,44607,Tidwell 1,1749.8310,14490.0400
2/29/2020,1009,44608,Slaughter 87B 3,2185.7747,2750.0100
2/29/2020,1009,44609,Holcomb 45A 1,2201.7313,2317.1400
2/29/2020,1009,44610,Rufus 4,851.5312,2189.2000
2/29/2020,1009,44611,Hale 1432,3074.7537,3762.7600
2/29/2020,1009,44612,Abraxas 27B 1,2518.0077,1126.8500
2/29/2020,1009,44613,Slaughter 29E 3,3494.8582,3364.4200
2/29/2020,1009,44614,Elma L Slaughter G 4,2183.3437,3420.6100
2/29/2020,1009,44615,Slaughter 8A 1,2191.5062,2966.0400
2/29/2020,1009,44616,Abraxas 32A 1,4041.9287,3166.3400
2/29/2020,1009,44617,Oneil 4 2,2333.7172,3202.8800
2/29/2020,1009,44618,Nance 19 5,2403.8155,2986.2200
2/29/2020,1009,44619,Abraxas 28 2,2836.4497,1810.6800
2/29/2020,1009,44620,Abraxas 32 5,3121.6752,3693.3000
2/29/2020,1009,44621,Elma L Slaughter 2,287.0883,1853.0600
2/29/2020,1009,44622,Elma L Slaughter D 2,1946.8615,2257.4700
2/29/2020,1009,44623,Davis 18 1,1408.3140,5028.3100
2/29/2020,1009,44624,Abraxas 30A 3,2252.9808,2260.9900
2/29/2020,1009,44625,Stone 70 1,2863.1707,1993.2500
2/29/2020,1009,44626,Thomas 1542,1820.7565,1864.1800
2/29/2020,1009,44627,Deatherage 2,1081.6645,2232.8900
2/29/2020,1009,44628,Cook 21 2,1982.4453,2612.6500
2/29/2020,1009,44629,Thomas A 1543,2048.1752,3832.8700
2/29/2020,1009,44630,Slaughter 82B 1,2360.2482,2967.2000
2/29/2020,1009,44631,Glasscock 7 1,2875.7748,3615.1000
2/29/2020,1009,44633,Garner 7 3,2771.7465,3320.2400
2/29/2020,1009,44634,Middleton 4,753.9680,62.0300
2/29/2020,1009,44635,Abraxas 31C 3,2465.2127,3854.1400
2/29/2020,1009,44636,Abraxas 32 11,2964.9422,2815.1300
2/29/2020,1009,44637,Stevie Ray E Allocation 1LS,15.2367,
2/29/2020,1009,44638,Holcomb 2,1079.5813,1704.6200
2/29/2020,1009,44639,Gary Lamb 14A 1,1501.5892,1250.1700
2/29/2020,1009,44640,Butchee 21 7,2076.7482,3137.2300
2/29/2020,1009,44641,Elma L Slaughter G 3,172.4233,942.1500
2/29/2020,1009,44642,Snell F E 1,1918.9933,2487.3200
2/29/2020,1009,44643,Slaughter 19C 1,3594.1088,5804.0600
2/29/2020,1009,44644,Titos 31-42 1WB,17401.3187,5695.3200
2/29/2020,1009,44645,Amoco-Deatherage 2,200.8667,305.5200
2/29/2020,1009,44646,Butchee 21 3,1993.6835,2581.4400
2/29/2020,1009,44647,Thirsty Goat W Unit 2LS,0.0000,
2/29/2020,1009,44648,Slaughter 544,2285.2075,3215.6100
2/29/2020,1009,44649,Moses Trust 69 5,1769.0142,1687.3700
2/29/2020,1009,44650,Titos 31-42 2WB,16960.4287,0.0000
2/29/2020,1009,44651,Stripling 82 1,1164.2820,4392.3800
2/29/2020,1009,44652,Rufus 8,2280.1988,3190.1000
2/29/2020,1009,44653,Cook 22 4,1977.1615,2675.3600
2/29/2020,1009,44655,Slaughter 29B 2,3517.0867,4588.1500
2/29/2020,1009,44656,Barron 82 1,2306.7178,2664.6700
2/29/2020,1009,44657,Butchee 21 8,2606.7147,3578.4600
2/29/2020,1009,44658,Davis 42 1,1093.7017,8741.8700
2/29/2020,1009,44659,Davis 14 1,1454.6292,1843.3400
2/29/2020,1009,44660,Cook 21 7,1959.5293,1672.9100
2/29/2020,1009,44661,Moses Trust 69 4,1565.9850,1442.4700
2/29/2020,1009,44662,Middleton 3,1825.5142,2793.9300
2/29/2020,1009,44663,Abraxas 32 2,3023.7490,2179.9300
2/29/2020,1009,44664,Hale 1444,2152.8300,3294.2800
2/29/2020,1009,44665,Jumper 1,1600.4103,2228.7300
2/29/2020,1009,44666,Abraxas 16 2,2638.8402,3439.9700
2/29/2020,1009,44667,Cook 21 8,1975.0738,2804.9400
2/29/2020,1009,44668,Thirsty Goat E Unit 1WA,8958.7817,
2/29/2020,1009,44669,Thirsty Goat W Unit 1LS,0.0000,
2/29/2020,1009,44670,Thirsty Goat E Unit 3LS,14276.2872,
2/29/2020,1009,44672,ELMA L SLAUGHTER J 1D SWD,13350.7082,17320.7200
2/29/2020,1009,44673,Davison 41 1,1005.3152,1844.3300
2/29/2020,1009,44674,Abraxas 16 1,8124.8210,3657.8300
2/29/2020,1009,44675,Abraxas 28D 1,3018.5975,2047.5700
2/29/2020,1009,44676,Bauer 2,3759.5297,4295.9700
